"";"dates";"titles";"links"
"199";"20/07/2017";"Discours d'ouverture des États généraux de l’alimentation";"/discours/9358-discours-d-ouverture-des-etats-generaux-de-l-alimentation"
"200";"17/07/2017";"Plan France médecine génomique 2025 : discours d'Édouard Philippe";"/discours/9345-plan-france-medecine-genomique-2025-discours-d-edouard-philippe"
"201";"17/07/2017";"Discours du Premier ministre lors de la Conférence nationale des territoires";"/discours/9342-discours-du-premier-ministre-lors-de-la-conference-nationale-des-territoires"
"202";"11/07/2017";"Discours d'Édouard Philippe au Forum Europlace";"/discours/9320-discours-du-premier-ministre-au-forum-europlace"
"203";"11/07/2017";"Discours d'ouverture de la conférence annuelle du Conseil Economique, Social et Environnemental";"/discours/9315-discours-d-ouverture-de-la-conference-annuelle-du-conseil-economique-social-et-environnemental"
"204";"05/07/2017";"Déclaration de politique générale du Premier ministre au Sénat";"/discours/9302-declaration-de-politique-generale-du-premier-ministre-au-senat"
"205";"04/07/2017";"Déclaration de politique générale du Premier ministre Édouard Philippe";"/discours/9296-declaration-de-politique-generale-du-premier-ministre-edouard-philippe"
"206";"03/07/2017";"Déclaration du Premier ministre à l'occasion du séminaire gouvernemental à Nancy";"/discours/9294-declaration-du-premier-ministre-a-l-occasion-du-seminaire-gouvernemental-a-nancy"
"207";"03/07/2017";"Discours lors de la visite à la prison Patarei (Estonie)";"/discours/9291-discours-lors-de-la-visite-a-la-prison-patarei-estonie"
"208";"29/06/2017";"Prise de parole du Premier ministre à l’issue de la remise de l’audit de la Cour des comptes";"/discours/9284-prise-de-parole-du-premier-ministre-a-l-issue-de-la-remise-de-l-audit-de-la-cour-des-comptes"
"209";"23/06/2017";"Discours au Salon du Bourget";"/discours/9266-discours-au-salon-du-bourget-vendredi-23-juin-2017"
"210";"19/06/2017";"Discours du Premier ministre à l'issue du second tour des élections législatives";"/discours/9247-discours-du-premier-ministre-a-l-issue-du-second-tour-des-elections-legislatives"
"211";"06/06/2017";"Discours du Premier ministre pour la présentation du programme de travail pour rénover notre modèle social";"/discours/9223-discours-du-premier-ministre-pour-la-presentation-du-programme-de-travail-pour-renover-notre-modele"
